pos_x_m,pos_y_m,elevation
0.0,0.0,9.799201965
-1554.9182484582998,-2266.858540367335,4.992725372
-1544.5346326492727,-2310.5736153535545,4.590457439
-1565.8256439601537,-2219.380187519826,5.604637623
-1727.5803303862922,-2477.399486584589,3.795064688
-1740.9724925967166,-2483.4721590597183,3.688914061
-1717.0564695813227,-2472.6375668616965,3.900135756
-1600.5766628518468,-2419.9693533787504,4.853661537
-1526.5226924724411,-2386.634880903177,5.290000439
-2318.9886145757046,-2194.505733610131,5.058969021
-2276.277788814623,-2182.021865274757,5.484196663
-2376.414711607271,-2005.5163776334375,5.505723
-2306.6626266468083,-2232.1697970451787,4.31585741
-2260.968338893377,-2176.942790949717,5.67243576
-2255.572723235702,-2173.5753625184298,5.682002544
-2253.742176068481,-2171.970586278476,5.742002487
-2250.87283314846,-2169.4489890430123,5.825252533
-2247.513488304685,-2165.6920686280355,5.865252495
787.7376504414715,-1722.565187801607,4.086731911
799.0768990820507,-1751.3638012949377,3.982689619
781.845042162342,-1707.7275679148734,4.190957546
-997.3824893835699,-1377.1551957856864,2.252620459
-990.6846440053778,-1395.9940275652334,2.227561951
-969.3035585253965,-1373.0931871775538,2.48568964
-1009.2293733310653,-1378.1878324607387,2.163028479
-972.7106179378461,-1446.5574219534174,2.00501132
-973.0114815438865,-1483.0403600260615,1.654951811
-1578.7342868146952,-997.1703010899946,7.303866863
-1667.413558253087,-1057.1208710568026,9.427324295
-1538.2655883897096,-970.7435394553468,7.415085793
-1606.009757915861,-955.1012234706432,7.551047325
-430.242062812089,-2062.5719360774383,1.059730053
-449.16904584818985,-2130.0817415891215,1.100590706
-421.16267040977255,-2030.21623790171,1.054534554
-335.9869876067387,-2089.448170637712,1.36154449
-283.0941494606668,-1995.3482741890475,1.724676728
-355.33451961830724,-2129.0830108365044,1.346995831
-367.8830047349911,-2464.3760427692905,0.980597794
-384.5975937192561,-2459.3758987141773,1.231255174
-1215.0539310262538,-1598.8203920433298,1.474456549
-1205.9943577900995,-1652.7923682760447,1.737566352
-1471.1138594762888,-910.596692004241,8.516014099
-1505.950123826391,-942.4264080440626,7.634117126
-1457.994882583269,-901.4087654547766,8.786823273
-1140.1047544688918,-1260.0271421177313,2.365838051
-1209.3063762566308,-1182.6885241307318,2.458320856
-1099.512912434875,-1191.1648381026462,1.996038675
-1173.7431483728578,-1310.8354087444022,1.817226887
222.08388497540727,-1522.5491956816986,4.272883415
312.0647403242765,-1498.148432534188,5.186208248
303.1551367804641,-1461.1945154163986,5.229519367
340.49217546440195,-1618.0297433882952,4.754525661
-834.2346940650605,-1285.0650415737182,3.177099943
-840.5440883073024,-1304.4571220269427,2.808365583
-827.4763887032168,-1269.771534874104,3.440658808
-1379.8886281999294,-1443.0795249417424,4.356403828
-1334.868279692484,-1425.3943680441007,3.595167637
-1404.1148552404484,-1452.2906782906502,4.871711254
-1402.9757166201016,-1422.6845870828256,5.42470932
1456.0648891092278,2499.3778204387054,14.539715767
1544.3243964134017,2509.006122198887,14.686876297
1462.7313800620614,2384.3119459673762,12.280820847
1401.9387001044815,-1039.9835121100768,4.910488129
1703.7439997333568,-1153.4563527293503,3.728335381
1411.5768179515144,-1022.1642316235229,5.03582859
1381.7948301995639,-1093.2003352511674,4.681994915
1843.4939679992385,-1245.1823201701045,3.12542963
1865.1212241220055,-1249.3088114056736,3.034545183
2246.829804996378,1620.5855876365677,4.409750462
2261.302309394465,1635.1289542522281,4.226082802
2218.6951684764354,1591.476881083101,5.897135258
-843.727280119434,-1317.764751644805,2.711808205
-845.9949647277826,-1327.4922404438257,2.611918688
317.8812884836225,2460.2863126294687,21.355648041
349.6423660394503,2441.7565136654302,21.068408966
315.0810848597903,2462.1206959653646,21.36322403
737.7795171663165,2145.927544815466,16.732507706
791.8946810016641,2098.314091832377,16.024629593
676.9009835101897,2200.2555853947997,17.492582321
891.0861354228109,-1350.2700297944248,5.423094749
991.7186491257744,-1350.3338919496164,5.730062962
738.0395504620392,-1349.8402501093224,6.22510004
-1370.1463030128507,-1387.109231182374,3.985825062
-1534.361800121842,-1204.3842667778954,9.128691673
1094.7094378736801,-1990.0234362026677,2.771024227
1133.6717553763883,-2024.4747508587316,2.552539825
1061.920945549151,-1960.9245162270963,3.03375411
-2132.328046838171,-1554.7523020301014,4.369615555
-2141.750943011255,-1567.116616981104,3.82719636
-2119.505756074679,-1537.941061812453,5.094299316
-2042.241248681792,-1564.0747151775286,7.18194294
-2019.4775144627783,-1559.4270292576402,7.338372707
-2057.2811064460548,-1568.4582318291068,6.981034756
-1574.9536835299805,-1479.8036398114637,6.174179554
-1570.8042336348444,-1479.0691584404558,6.061288357
-1609.3050123786088,-1485.3884878726676,6.667222023
-1281.3320456272922,-1809.7104195784777,2.178060293
-1228.1599095484708,-1811.1910383123904,1.59351337
-1324.159370784415,-1808.426841196604,2.691015959
-1187.6527026623953,-1969.0792166227475,1.150924802
-1223.205773448106,-1967.1545114321634,1.366696954
-1535.1137126699323,-1953.2280116016045,5.472719669
-1394.6377491774037,-1957.934619937092,3.40362978
-1629.5366852447623,-1948.572794009,6.611881256
-1962.6292303778464,-2012.0611233580858,4.022284508
-1924.6807802874828,-1988.938067807816,4.274441242
-1941.8221190627664,-2055.22841827292,4.823945999
-1970.6698263310827,-1999.6794526362792,4.078223228
-1885.6620017196983,-1979.1957695148885,5.076425076
-1841.6780416037655,-1967.663663642481,6.073491573
-1794.5030824627029,-1950.5344127258286,6.461896896
1588.432204548153,44.07919290848076,6.609109879
1472.7992182084126,109.45079556293786,7.320978642
1634.8025121145183,17.98979773838073,6.486118793
1090.6810732842423,5.849776825867593,5.697961807
1103.6249550139764,4.64951401297003,6.154019356
1090.5204798597842,-0.5986745106056333,5.557961941
1090.062534238561,19.165310143493116,5.888012409
1115.1597463883227,2.5217688931152225,6.275914192
1120.5207703439519,0.8912290576845407,6.214372635
1131.285484684864,-3.9241279615089297,6.246832371
1140.5598434098065,-9.780314495787024,6.216691494
1147.5392387396423,-15.032856935635209,6.349737644
1150.6479672632413,-17.61403073463589,6.331319332
1157.4353593490086,-25.093920374289155,6.411594868
-2270.415664538741,-2343.070697790943,2.126510143
-2275.125806900207,-2328.6657562423497,2.527155638
-2256.978276985814,-2384.3710487177595,2.176276445
-2293.881942027132,-1986.1818438638002,3.206340075
-2269.5481935592834,-1980.8594123879448,2.346262217
-2295.5248883030144,-1986.6038881381974,3.246340036
